"verb","اِسْتَضَافَ","يَسْتَضِيفُ","host","hosts","hosted","people"
"verb","أَنْقَذَ","يُنْقِذُ","rescue","rescues","rescued","people"
"verb","عَالَجَ","يُعَالِجُ","treat","treats","treated","people"
"verb","أَطْعَمَ","يُطْعِمُ","feed","feeds","fed","people"
"verb","طَالَعَ","يُطَالِعُ","peruse","peruses","perused","study"
"verb","أَتْقَنَ","يُتْقِنُ","master","masters","mastered","study"
"verb","تَصَفَّحَ","يَتَصَفَّحُ","browse","browses","browsed","browsable"
"verb","فَهْرَسَ","يُفَهْرِسُ","index","indexes","indexed","browsable"
"verb","غَلَّفَ","يُغَلِّفُ","bind","binds","bound","browsable"
"verb","اِسْتَنْسَخَ","يَسْتَنْسِخُ","transcribe","transcribes","transcribed","browsable"
"verb","نَقَّحَ","يُنَقِّحُ","revise","revises","revised","editableText"
"verb","هَذَّبَ","يُهَذِّبُ","refine","refines","refined","editableText"
"verb","اِخْتَصَرَ","يَخْتَصِرُ","abridge","abridges","abridged","editableText"
"verb","أَطَالَ","يُطِيلُ","lengthen","lengthens","lengthened","editableText"
"verb","أَجَازَ","يُجِيزُ","authorize","authorizes","authorized","editableText"
"verb","عَنْوَنَ","يُعَنْوِنُ","title","titles","titled","editableText"
"verb","أَعْرَبَ","يُعْرِبُ","parse","parses","parsed","parsable"
"verb","صَاغَ","يَصُوغُ","formulate","formulates","formulated","formulable"
"verb","سَرَدَ","يَسْرُدُ","recount","recounts","recounted","narratable"
"verb","اِسْتَعْرَضَ","يَسْتَعْرِضُ","survey","surveys","surveyed","discussable"
"verb","اِسْتَوْعَبَ","يَسْتَوْعِبُ","grasp","grasps","grasped","explainable"
"verb","اِسْتَنْتَجَ","يَسْتَنْتِجُ","conclude","concludes","concluded","derivable"
"verb","تَأَمَّلَ","يَتَأَمَّلُ","contemplate","contemplates","contemplated","reflectable"
"verb","تَتَبَّعَ","يَتَتَبَّعُ","trace","traces","traced","abstract"
"verb","كَتَمَ","يَكْتُمُ","withhold","withholds","withheld","message"
"verb","أَرْفَقَ","يُرْفِقُ","attach","attaches","attached","message"
"verb","أَجَّلَ","يُؤَجِّلُ","postpone","postpones","postponed","project"
"verb","أَنْجَزَ","يُنْجِزُ","accomplish","accomplishes","accomplished","project"
"verb","بَاشَرَ","يُبَاشِرُ","commence","commences","commenced","project"
"verb","تَابَعَ","يُتَابِعُ","follow up on","follows up on","followed up on","project"
"verb","أَتَمَّ","يُتِمُّ","finish","finishes","finished","project"
"verb","اِسْتَأْنَفَ","يَسْتَأْنِفُ","resume","resumes","resumed","project"
"verb","طَبَّقَ","يُطَبِّقُ","apply","applies","applied","applicable"
"verb","قَرَّرَ","يُقَرِّرُ","affirm","affirms","affirmed","applicable"
"verb","أَسَّسَ","يُؤَسِّسُ","establish","establishes","established","places"
"verb","عَمَّرَ","يُعَمِّرُ","build up","builds up","built up","places"
"verb","رَمَّمَ","يُرَمِّمُ","restore","restores","restored","places"
"verb","اِفْتَتَحَ","يَفْتَتِحُ","inaugurate","inaugurates","inaugurated","places"
"verb","سَكَنَ","يَسْكُنُ","live in","lives in","lived in","enterablePlaces"
"verb","حَفَرَ","يَحْفِرُ","dig","digs","dug","diggableGround"
"verb","اِبْتَاعَ","يَبْتَاعُ","purchase","purchases","purchased","tradable"
"verb","أَنْفَقَ","يُنْفِقُ","spend","spends","spent","money"
"verb","اِدَّخَرَ","يَدَّخِرُ","save up","saves up","saved up","money"
"verb","أَقْرَضَ","يُقْرِضُ","loan","loans","loaned","money"
"verb","أَوْدَعَ","يُودِعُ","deposit","deposits","deposited","money"
"verb","سَدَّدَ","يُسَدِّدُ","pay","pays","paid","payable"
"verb","وَفَّرَ","يُوَفِّرُ","provide","provides","provided","requestable"
"verb","مَنَحَ","يَمْنَحُ","grant","grants","granted","offerable"
"verb","وَهَبَ","يَهَبُ","bestow","bestows","bestowed","offerable"
"verb","أَعَدَّ","يُعِدُّ","prepare","prepares","prepared","food"
"verb","تَذَوَّقَ","يَتَذَوَّقُ","savor","savors","savored","food"
"verb","قَطَّعَ","يُقَطِّعُ","chop","chops","chopped","choppable"
"verb","حَصَدَ","يَحْصُدُ","harvest","harvests","harvested","harvestable"
"verb","قَطَفَ","يَقْطِفُ","pick","picks","picked","harvestable"
"verb","اِسْتَخْدَمَ","يَسْتَخْدِمُ","utilize","utilizes","utilized","tool"
"verb","جَرَّبَ","يُجَرِّبُ","try out","tries out","tried out","device"
"verb","عَدَّلَ","يُعَدِّلُ","adjust","adjusts","adjusted","device"
"verb","رَاقَبَ","يُرَاقِبُ","monitor","monitors","monitored","device"
"verb","ثَبَّتَ","يُثَبِّتُ","fasten","fastens","fastened","installable"
"verb","أَتْلَفَ","يُتْلِفُ","damage","damages","damaged","physicalDevice"
"verb","مَزَّقَ","يُمَزِّقُ","tear up","tears up","tore up","tearable"
"verb","شَدَّ","يَشُدُّ","tighten","tightens","tightened","tieable"
"verb","سَتَرَ","يَسْتُرُ","conceal","conceals","concealed","takeable"
"verb","اِسْتَرْجَعَ","يَسْتَرْجِعُ","retrieve","retrieves","retrieved","takeable"
"verb","صَانَ","يَصُونُ","preserve","preserves","preserved","ownable"
"verb","عَدَّدَ","يُعَدِّدُ","enumerate","enumerates","enumerated","countable"
"verb","رَقَّمَ","يُرَقِّمُ","number","numbers","numbered","countable"
"verb","أَظْهَرَ","يُظْهِرُ","show","shows","showed","media"
"verb","أَعْلَنَ","يُعْلِنُ","announce","announces","announced","broadcast"
"verb","أَنْتَجَ","يُنْتِجُ","produce","produces","produced","manufacturable"
"verb","سَاقَ","يَسُوقُ","drive","drives","drove","vehicle"
"verb","تَجَاوَزَ","يَتَجَاوَزُ","overtake","overtakes","overtook","vehicle"
